/workspace/simcse/SimCSE-multilanguages/train.py:151: FutureWarning: `tokenizer` is deprecated and will be removed in version 5.0.0 for `Trainer.__init__`. Use `processing_class` instead.
  trainer = Trainer(
Detected kernel version 5.4.0, which is below the recommended minimum of 5.5.0; this can cause the process to hang. It is recommended to upgrade the kernel to the minimum version or higher.
Using auto half precision backend
***** Running training *****
  Num examples = 1,000,000
  Num Epochs = 1
  Instantaneous batch size per device = 64
  Total train batch size (w. parallel, distributed & accumulation) = 64
  Gradient Accumulation steps = 1
  Total optimization steps = 15,625
  Number of trainable parameters = 102,267,648
{'loss': 1.1566, 'grad_norm': 1.7980908155441284, 'learning_rate': 4.93696e-05, 'epoch': 0.0128}
{'loss': 1.1222, 'grad_norm': 1.474764108657837, 'learning_rate': 4.87296e-05, 'epoch': 0.0256}
{'loss': 1.1212, 'grad_norm': 1.3909168243408203, 'learning_rate': 4.80896e-05, 'epoch': 0.0384}
{'loss': 1.1184, 'grad_norm': 1.2493259906768799, 'learning_rate': 4.74496e-05, 'epoch': 0.0512}
{'loss': 1.1173, 'grad_norm': 1.1560258865356445, 'learning_rate': 4.680960000000001e-05, 'epoch': 0.064}
{'loss': 1.1168, 'grad_norm': 1.145808458328247, 'learning_rate': 4.61696e-05, 'epoch': 0.0768}
{'loss': 1.1139, 'grad_norm': 0.9610379338264465, 'learning_rate': 4.55296e-05, 'epoch': 0.0896}
{'loss': 1.1128, 'grad_norm': 1.0058066844940186, 'learning_rate': 4.4889600000000005e-05, 'epoch': 0.1024}
{'loss': 1.1118, 'grad_norm': 0.9166212677955627, 'learning_rate': 4.4249600000000004e-05, 'epoch': 0.1152}
{'loss': 1.1119, 'grad_norm': 0.9914579391479492, 'learning_rate': 4.3609600000000003e-05, 'epoch': 0.128}
{'loss': 1.1107, 'grad_norm': 0.9774964451789856, 'learning_rate': 4.29728e-05, 'epoch': 0.1408}
{'loss': 1.1104, 'grad_norm': 1.1561967134475708, 'learning_rate': 4.23328e-05, 'epoch': 0.1536}
{'loss': 1.1104, 'grad_norm': 0.8944717049598694, 'learning_rate': 4.16928e-05, 'epoch': 0.1664}
{'loss': 1.1103, 'grad_norm': 0.8613218665122986, 'learning_rate': 4.10528e-05, 'epoch': 0.1792}
{'loss': 1.1091, 'grad_norm': 0.8901343941688538, 'learning_rate': 4.04128e-05, 'epoch': 0.192}
{'loss': 1.1094, 'grad_norm': 0.913473904132843, 'learning_rate': 3.9772800000000007e-05, 'epoch': 0.2048}
{'loss': 1.1094, 'grad_norm': 0.9185692071914673, 'learning_rate': 3.9132800000000006e-05, 'epoch': 0.2176}
{'loss': 1.1076, 'grad_norm': 0.9350823163986206, 'learning_rate': 3.84928e-05, 'epoch': 0.2304}
{'loss': 1.1098, 'grad_norm': 0.8289961218833923, 'learning_rate': 3.78528e-05, 'epoch': 0.2432}
{'loss': 1.1128, 'grad_norm': 0.7953434586524963, 'learning_rate': 3.7216000000000004e-05, 'epoch': 0.256}
{'loss': 1.1074, 'grad_norm': 0.8140384554862976, 'learning_rate': 3.6576e-05, 'epoch': 0.2688}
{'loss': 1.1082, 'grad_norm': 0.9064615368843079, 'learning_rate': 3.5936e-05, 'epoch': 0.2816}
{'loss': 1.1081, 'grad_norm': 0.8031711578369141, 'learning_rate': 3.5296e-05, 'epoch': 0.2944}
{'loss': 1.1075, 'grad_norm': 0.8481977581977844, 'learning_rate': 3.4656e-05, 'epoch': 0.3072}
{'loss': 1.1084, 'grad_norm': 0.7822516560554504, 'learning_rate': 3.4016e-05, 'epoch': 0.32}
{'loss': 1.1071, 'grad_norm': 0.8472433090209961, 'learning_rate': 3.3376e-05, 'epoch': 0.3328}
