{'loss': 1.9838, 'grad_norm': 13.901289939880371, 'learning_rate': 9.404990403071018e-07, 'epoch': 0.0}
{'loss': 1.283, 'grad_norm': 5.318226337432861, 'learning_rate': 1.9001919385796545e-06, 'epoch': 0.01}
{'loss': 1.172, 'grad_norm': 3.6133363246917725, 'learning_rate': 2.859884836852207e-06, 'epoch': 0.01}
{'loss': 1.1547, 'grad_norm': 3.068570137023926, 'learning_rate': 3.81957773512476e-06, 'epoch': 0.01}
{'loss': 1.1344, 'grad_norm': 2.9855570793151855, 'learning_rate': 4.779270633397313e-06, 'epoch': 0.02}
{'loss': 1.135, 'grad_norm': 2.5341668128967285, 'learning_rate': 5.738963531669866e-06, 'epoch': 0.02}
{'loss': 1.1267, 'grad_norm': 3.0898964405059814, 'learning_rate': 6.698656429942419e-06, 'epoch': 0.02}
{'loss': 1.1209, 'grad_norm': 2.7698211669921875, 'learning_rate': 7.65834932821497e-06, 'epoch': 0.03}
{'loss': 1.1233, 'grad_norm': 1.8265365362167358, 'learning_rate': 8.618042226487524e-06, 'epoch': 0.03}
{'loss': 1.1194, 'grad_norm': 1.8491712808609009, 'learning_rate': 9.577735124760076e-06, 'epoch': 0.03}
{'loss': 1.1211, 'grad_norm': 1.7782407999038696, 'learning_rate': 1.0537428023032628e-05, 'epoch': 0.04}
{'loss': 1.1148, 'grad_norm': 1.5397303104400635, 'learning_rate': 1.1497120921305182e-05, 'epoch': 0.04}
{'loss': 1.1126, 'grad_norm': 1.6902320384979248, 'learning_rate': 1.2456813819577734e-05, 'epoch': 0.04}
{'loss': 1.1117, 'grad_norm': 1.5173336267471313, 'learning_rate': 1.3416506717850288e-05, 'epoch': 0.04}
{'loss': 1.1091, 'grad_norm': 1.3320626020431519, 'learning_rate': 1.437619961612284e-05, 'epoch': 0.05}
{'loss': 1.1114, 'grad_norm': 1.2686223983764648, 'learning_rate': 1.5335892514395392e-05, 'epoch': 0.05}
{'loss': 1.108, 'grad_norm': 1.230797529220581, 'learning_rate': 1.6295585412667946e-05, 'epoch': 0.05}
{'loss': 1.1096, 'grad_norm': 1.1712276935577393, 'learning_rate': 1.72552783109405e-05, 'epoch': 0.06}
{'loss': 1.1117, 'grad_norm': 6.0518717765808105, 'learning_rate': 1.821497120921305e-05, 'epoch': 0.06}
{'loss': 1.1083, 'grad_norm': 1.1743131875991821, 'learning_rate': 1.9174664107485604e-05, 'epoch': 0.06}
{'loss': 1.1081, 'grad_norm': 1.1666200160980225, 'learning_rate': 2.0134357005758158e-05, 'epoch': 0.07}
{'loss': 1.1097, 'grad_norm': 1.0581039190292358, 'learning_rate': 2.109404990403071e-05, 'epoch': 0.07}
{'loss': 1.109, 'grad_norm': 1.1692094802856445, 'learning_rate': 2.2053742802303262e-05, 'epoch': 0.07}
{'loss': 1.1092, 'grad_norm': 1.1264265775680542, 'learning_rate': 2.3013435700575816e-05, 'epoch': 0.08}
{'loss': 1.1087, 'grad_norm': 1.1948273181915283, 'learning_rate': 2.397312859884837e-05, 'epoch': 0.08}
{'loss': 1.1085, 'grad_norm': 1.0420079231262207, 'learning_rate': 2.493282149712092e-05, 'epoch': 0.08}
{'loss': 1.1091, 'grad_norm': 1.036922574043274, 'learning_rate': 2.5892514395393474e-05, 'epoch': 0.09}
