/workspace/simcse/SimCSE-multilanguages/train.py:151: FutureWarning: `tokenizer` is deprecated and will be removed in version 5.0.0 for `Trainer.__init__`. Use `processing_class` instead.
  trainer = Trainer(
Detected kernel version 5.4.0, which is below the recommended minimum of 5.5.0; this can cause the process to hang. It is recommended to upgrade the kernel to the minimum version or higher.
Using auto half precision backend
***** Running training *****
  Num examples = 1,000,000
  Num Epochs = 1
  Instantaneous batch size per device = 64
  Total train batch size (w. parallel, distributed & accumulation) = 64
  Gradient Accumulation steps = 1
  Total optimization steps = 15,625
  Number of trainable parameters = 278,041,344
{'loss': 1.2158, 'grad_norm': 0.8751904964447021, 'learning_rate': 4.93696e-05, 'epoch': 0.0128}
{'loss': 1.1178, 'grad_norm': 0.8477248549461365, 'learning_rate': 4.87296e-05, 'epoch': 0.0256}
{'loss': 1.1149, 'grad_norm': 0.7090318202972412, 'learning_rate': 4.80896e-05, 'epoch': 0.0384}
{'loss': 1.1134, 'grad_norm': 0.6667271256446838, 'learning_rate': 4.74496e-05, 'epoch': 0.0512}
{'loss': 1.1123, 'grad_norm': 0.645778477191925, 'learning_rate': 4.680960000000001e-05, 'epoch': 0.064}
{'loss': 1.1132, 'grad_norm': 0.647750735282898, 'learning_rate': 4.61696e-05, 'epoch': 0.0768}
{'loss': 1.1107, 'grad_norm': 0.7020595073699951, 'learning_rate': 4.55296e-05, 'epoch': 0.0896}
{'loss': 1.1117, 'grad_norm': 0.6712732911109924, 'learning_rate': 4.4889600000000005e-05, 'epoch': 0.1024}
{'loss': 1.1134, 'grad_norm': 1.0856956243515015, 'learning_rate': 4.42528e-05, 'epoch': 0.1152}
{'loss': 1.1152, 'grad_norm': 0.969119668006897, 'learning_rate': 4.3619200000000004e-05, 'epoch': 0.128}
{'loss': 1.1135, 'grad_norm': 0.6703799366950989, 'learning_rate': 4.2982400000000004e-05, 'epoch': 0.1408}
{'loss': 1.115, 'grad_norm': 0.9135822653770447, 'learning_rate': 4.23424e-05, 'epoch': 0.1536}
{'loss': 1.1134, 'grad_norm': 0.7535748481750488, 'learning_rate': 4.17056e-05, 'epoch': 0.1664}
{'loss': 1.1102, 'grad_norm': 2.1142847537994385, 'learning_rate': 4.10688e-05, 'epoch': 0.1792}
