/workspace/simcse/SimCSE-multilanguages/train.py:151: FutureWarning: `tokenizer` is deprecated and will be removed in version 5.0.0 for `Trainer.__init__`. Use `processing_class` instead.
  trainer = Trainer(
Detected kernel version 5.4.0, which is below the recommended minimum of 5.5.0; this can cause the process to hang. It is recommended to upgrade the kernel to the minimum version or higher.
Using auto half precision backend
***** Running training *****
  Num examples = 1,000,000
  Num Epochs = 1
  Instantaneous batch size per device = 64
  Total train batch size (w. parallel, distributed & accumulation) = 64
  Gradient Accumulation steps = 1
  Total optimization steps = 15,625
  Number of trainable parameters = 177,853,440
{'loss': 1.2408, 'grad_norm': 2.8318841457366943, 'learning_rate': 4.93792e-05, 'epoch': 0.0128}
{'loss': 1.1276, 'grad_norm': 2.458690881729126, 'learning_rate': 4.87392e-05, 'epoch': 0.0256}
{'loss': 1.1234, 'grad_norm': 2.031449317932129, 'learning_rate': 4.80992e-05, 'epoch': 0.0384}
{'loss': 1.1214, 'grad_norm': 1.8354997634887695, 'learning_rate': 4.74592e-05, 'epoch': 0.0512}
{'loss': 1.1203, 'grad_norm': 1.5946235656738281, 'learning_rate': 4.68192e-05, 'epoch': 0.064}
{'loss': 1.1206, 'grad_norm': 1.6606924533843994, 'learning_rate': 4.61792e-05, 'epoch': 0.0768}
{'loss': 1.1177, 'grad_norm': 1.4618738889694214, 'learning_rate': 4.5539200000000006e-05, 'epoch': 0.0896}
{'loss': 1.1155, 'grad_norm': 1.5056415796279907, 'learning_rate': 4.4899200000000005e-05, 'epoch': 0.1024}
{'loss': 1.1193, 'grad_norm': 1.3659695386886597, 'learning_rate': 4.42592e-05, 'epoch': 0.1152}
{'loss': 1.1164, 'grad_norm': 1.1950639486312866, 'learning_rate': 4.3619200000000004e-05, 'epoch': 0.128}
{'loss': 1.1152, 'grad_norm': 1.2583688497543335, 'learning_rate': 4.2979200000000003e-05, 'epoch': 0.1408}
{'loss': 1.1146, 'grad_norm': 1.166243553161621, 'learning_rate': 4.23392e-05, 'epoch': 0.1536}
{'loss': 1.1139, 'grad_norm': 1.256076693534851, 'learning_rate': 4.16992e-05, 'epoch': 0.1664}
{'loss': 1.114, 'grad_norm': 1.1624919176101685, 'learning_rate': 4.10592e-05, 'epoch': 0.1792}
{'loss': 1.1158, 'grad_norm': 1.1322747468948364, 'learning_rate': 4.04192e-05, 'epoch': 0.192}
{'loss': 1.1143, 'grad_norm': 1.0571571588516235, 'learning_rate': 3.97792e-05, 'epoch': 0.2048}
