/workspace/simcse/SimCSE-multilanguages/train.py:151: FutureWarning: `tokenizer` is deprecated and will be removed in version 5.0.0 for `Trainer.__init__`. Use `processing_class` instead.
  trainer = Trainer(
Detected kernel version 5.4.0, which is below the recommended minimum of 5.5.0; this can cause the process to hang. It is recommended to upgrade the kernel to the minimum version or higher.
Using auto half precision backend
***** Running training *****
  Num examples = 1,000,000
  Num Epochs = 1
  Instantaneous batch size per device = 64
  Total train batch size (w. parallel, distributed & accumulation) = 64
  Gradient Accumulation steps = 1
  Total optimization steps = 15,625
  Number of trainable parameters = 278,043,648
{'loss': 5.4388, 'grad_norm': 49.55796432495117, 'learning_rate': 4.9382400000000003e-05, 'epoch': 0.0128}
{'loss': 1.3442, 'grad_norm': 4.8178253173828125, 'learning_rate': 4.87424e-05, 'epoch': 0.0256}
{'loss': 1.171, 'grad_norm': 4.022034168243408, 'learning_rate': 4.81024e-05, 'epoch': 0.0384}
{'loss': 1.1502, 'grad_norm': 2.954786777496338, 'learning_rate': 4.74624e-05, 'epoch': 0.0512}
{'loss': 1.1376, 'grad_norm': 2.9545960426330566, 'learning_rate': 4.68224e-05, 'epoch': 0.064}
{'loss': 1.1385, 'grad_norm': 2.4320292472839355, 'learning_rate': 4.61824e-05, 'epoch': 0.0768}
{'loss': 1.133, 'grad_norm': 2.551814079284668, 'learning_rate': 4.55424e-05, 'epoch': 0.0896}
{'loss': 1.1293, 'grad_norm': 2.229945421218872, 'learning_rate': 4.49024e-05, 'epoch': 0.1024}
{'loss': 1.1312, 'grad_norm': 2.012455701828003, 'learning_rate': 4.4262400000000005e-05, 'epoch': 0.1152}
{'loss': 1.127, 'grad_norm': 1.9214067459106445, 'learning_rate': 4.3622400000000004e-05, 'epoch': 0.128}
{'loss': 1.126, 'grad_norm': 1.9423904418945312, 'learning_rate': 4.2982400000000004e-05, 'epoch': 0.1408}
{'loss': 1.1323, 'grad_norm': inf, 'learning_rate': 4.23424e-05, 'epoch': 0.1536}
{'loss': 1.2588, 'grad_norm': 2.1593425273895264, 'learning_rate': 4.17056e-05, 'epoch': 0.1664}
{'loss': 1.1293, 'grad_norm': 1.968526840209961, 'learning_rate': 4.10656e-05, 'epoch': 0.1792}
{'loss': 1.1253, 'grad_norm': 1.9692338705062866, 'learning_rate': 4.04256e-05, 'epoch': 0.192}
{'loss': 1.1221, 'grad_norm': 1.8634881973266602, 'learning_rate': 3.97856e-05, 'epoch': 0.2048}
{'loss': 1.1221, 'grad_norm': 1.4987854957580566, 'learning_rate': 3.914560000000001e-05, 'epoch': 0.2176}
{'loss': 1.124, 'grad_norm': 1.7295713424682617, 'learning_rate': 3.85056e-05, 'epoch': 0.2304}
{'loss': 1.13, 'grad_norm': 2.9426586627960205, 'learning_rate': 3.78656e-05, 'epoch': 0.2432}
{'loss': 1.1488, 'grad_norm': 1.6806375980377197, 'learning_rate': 3.72256e-05, 'epoch': 0.256}
{'loss': 1.1217, 'grad_norm': 3.307795524597168, 'learning_rate': 3.6585600000000004e-05, 'epoch': 0.2688}
{'loss': 1.1212, 'grad_norm': 1.6536645889282227, 'learning_rate': 3.5945600000000004e-05, 'epoch': 0.2816}
{'loss': 1.124, 'grad_norm': 2.377572536468506, 'learning_rate': 3.53056e-05, 'epoch': 0.2944}
{'loss': 1.1216, 'grad_norm': 1.376367449760437, 'learning_rate': 3.46656e-05, 'epoch': 0.3072}
{'loss': 1.1208, 'grad_norm': 1.483689785003662, 'learning_rate': 3.40256e-05, 'epoch': 0.32}
{'loss': 1.1165, 'grad_norm': 1.4631869792938232, 'learning_rate': 3.33856e-05, 'epoch': 0.3328}
{'loss': 1.1164, 'grad_norm': 1.2596408128738403, 'learning_rate': 3.274560000000001e-05, 'epoch': 0.3456}
{'loss': 1.1166, 'grad_norm': 1.4584887027740479, 'learning_rate': 3.21056e-05, 'epoch': 0.3584}
{'loss': 1.116, 'grad_norm': 3.1159112453460693, 'learning_rate': 3.14656e-05, 'epoch': 0.3712}
{'loss': 1.116, 'grad_norm': 1.3466441631317139, 'learning_rate': 3.08256e-05, 'epoch': 0.384}
{'loss': 1.1154, 'grad_norm': 1.1876238584518433, 'learning_rate': 3.01856e-05, 'epoch': 0.3968}
{'loss': 1.1138, 'grad_norm': 1.3007676601409912, 'learning_rate': 2.95456e-05, 'epoch': 0.4096}
{'loss': 1.1154, 'grad_norm': 1.2483024597167969, 'learning_rate': 2.89056e-05, 'epoch': 0.4224}
